2026-08-06 23:57:43,947 | CAMERA_MANAGER | INFO | Sent frame 77 from c3
2026-08-06 23:57:43,995 | CAMERA_MANAGER | INFO | Sent frame 76 from c1
2026-08-06 23:57:44,046 | CAMERA_MANAGER | INFO | Sent frame 78 from c4
2026-08-06 23:57:44,182 | CAMERA_MANAGER | INFO | Sent frame 75 from c2
2026-08-06 23:57:44,197 | CAMERA_MANAGER | INFO | Sent frame 78 from c3
2026-08-06 23:57:44,245 | CAMERA_MANAGER | INFO | Sent frame 77 from c1
2026-08-06 23:57:44,297 | CAMERA_MANAGER | INFO | Sent frame 79 from c4
2026-08-06 23:57:44,428 | CAMERA_MANAGER | INFO | Sent frame 76 from c2
2026-08-06 23:57:44,447 | CAMERA_MANAGER | INFO | Sent frame 79 from c3
2026-08-06 23:57:44,495 | CAMERA_MANAGER | INFO | Sent frame 78 from c1
2026-08-06 23:57:44,550 | CAMERA_MANAGER | INFO | Sent frame 80 from c4
2026-08-06 23:57:44,682 | CAMERA_MANAGER | INFO | Sent frame 77 from c2
