2026-08-07 00:08:20,998 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:08:21,429 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:08:21,848 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:08:22,250 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:08:22,665 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:08:23,084 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:08:23,494 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:08:23,911 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:08:24,328 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:08:24,768 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:08:25,220 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:08:25,644 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:08:26,063 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:08:26,469 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:08:26,889 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
