2026-08-07 00:08:39,835 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:39,849 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:39,850 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:39,852 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:39,868 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:39,881 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:39,883 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:39,883 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:39,884 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:39,884 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:39,896 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:39,898 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:39,915 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:39,928 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:39,930 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:39,930 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:39,930 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:39,931 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:39,944 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:39,946 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:39,964 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:39,991 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:39,993 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:39,994 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:39,994 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:39,994 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:39,996 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:39,998 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,010 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,010 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,022 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,025 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,026 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,026 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,029 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,031 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,041 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,069 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,071 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,071 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,071 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,071 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,084 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,087 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,104 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,104 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,132 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,134 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,135 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,135 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,147 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,149 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,149 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,163 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,165 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,182 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
